success,tokenNum,teamSize,USA,UK,othercountry,overallrating,offered_ownership,duration,priceETH,isERC,softcap,hardcap,whitepaper,video,socialMedia
0,18.53400943,1.945910149,0,0,1,1.9,NA,31,7.00E-05,NA,1,1,0,1,0
0,14.48333993,1.791759469,0,0,1,2.3,0.67,30,0.003,1,0,0,1,0,0
0,14.99416555,3.044522438,0,0,1,3.3,0.87,20,0.00234,NA,0,0,1,0,0
0,27.8461325,1.386294361,0,0,1,2.9,NA,30,3.00E-06,1,1,1,1,1,0
0,#NAME?,0.693147181,0,1,0,1.6,0.5,8,NA,NA,1,1,1,0,0
0,5.164785974,2.564949357,0,0,1,2.3,0.42,49,0.0092,0,0,0,1,1,0
0,#NAME?,2.890371758,0,0,1,2.5,0.82,60,0.00154,1,1,1,1,0,0
1,16.11809565,1.945910149,0,0,1,2.8,0.75,30,0.0015,1,1,1,1,1,0
1,22.73853202,#NAME?,0,0,1,1.7,0.75,30,NA,1,0,1,1,1,0
1,NA,3.784189634,0,0,1,2.1,NA,56,NA,NA,0,0,0,1,3
0,15.42494847,#NAME?,0,0,1,1.1,NA,30,0.00105,NA,0,0,0,0,0
1,20.72326584,2.397895273,0,0,1,3.4,0.6,90,0.00025,NA,1,1,1,1,0
0,15.42494847,2.079441542,1,0,0,3,0.33,32,0.005,1,0,1,1,1,3
1,NA,3.135494216,1,0,0,3.4,0.25,65,0.00028,1,1,1,1,1,3
0,16.30041721,2.564949357,0,0,1,2.3,0.3,45,0.00091,1,1,1,1,1,0
0,17.72753356,2.079441542,0,0,1,4.3,0.5,18,NA,1,0,1,1,0,0
1,17.31201812,3.496507561,0,0,1,3.6,0.33,31,0.001,1,0,1,1,1,0
0,20.43558376,1.386294361,0,0,1,2.5,0.75,31,NA,NA,1,1,1,0,0
1,17.56736481,2.079441542,0,1,0,4.5,0.33,49,0.0014,1,NA,NA,NA,NA,NA
1,18.42068074,2.079441542,0,0,1,2.5,NA,30,0.002,NA,0,1,1,1,0
1,13.99783211,2.833213344,0,0,1,3.9,NA,20,0.00035,1,0,1,1,1,3
0,17.21670794,#NAME?,0,0,1,1.6,NA,75,0.00126,NA,1,1,1,0,0
0,17.98989783,2.397895273,0,1,0,3.2,0.65,32,NA,1,0,0,1,1,0
1,19.11382792,2.833213344,0,1,0,4.4,NA,0,0.00028,1,0,0,1,1,2
1,NA,1.609437912,0,0,1,3,0.6,90,0.0014,1,0,0,1,1,0
1,22.28141045,3.135494216,0,0,1,3.7,0.95,61,3.00E-05,NA,1,1,1,1,1
0,3.218875825,2.397895273,0,0,1,2,0.25,30,1.00E-05,1,0,0,1,0,0
1,16.81124283,2.302585093,0,0,1,3.4,0.4,19,NA,1,0,1,1,1,0
1,NA,2.995732274,0,1,0,4,0.7,15,0.001,1,1,1,1,1,0
1,16.860033,1.386294361,0,0,1,1.8,0.7,18,0.005,1,1,1,1,0,0
1,17.80004025,2.890371758,0,0,1,4.2,0.56,60,0.0083,1,1,1,1,1,0
0,2.302585093,0.693147181,1,0,0,2.3,NA,-20,0.0003125,1,NA,NA,NA,NA,NA
1,NA,3.891820298,0,0,1,3.6,0.4,14,0.0013,NA,1,1,1,1,3
1,17.84086225,1.945910149,0,0,1,2.6,0.5,28,1.00E-05,1,1,1,1,1,0
1,19.11382792,3.17805383,0,0,1,2.9,NA,29,0.0017,1,0,1,1,1,3
1,NA,2.708050201,0,0,1,4,0.98,56,0.00014,1,1,1,1,1,3
0,#NAME?,1.386294361,0,0,1,2,0.69,31,0.003,NA,0,0,1,0,0
1,NA,#NAME?,1,0,0,3,NA,0,NA,NA,0,0,1,1,0
